Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
511,290 S ELMWOOD AVE APT 4,"Buffalo, NY",14201.0,1,1,626,No Info,No Info,1,78964.0,no,no,no,no,USA
512,58 TRINITY PL APT 7,"Buffalo, NY",14201.0,—,1,315,No Info,No Info,1,66496.0,no,no,no,no,USA
513,46 ATLANTIC AVE,"Buffalo, NY",14222.0,3,1,"3,532",No Info,No Info,1,157928.0,no,no,no,no,USA
514,89 LISBON AVE # 2,"Buffalo, NY",14214.0,4,1,"1,360",No Info,No Info,1,182864.0,no,no,no,no,USA
515,89 LISBON AVE # 1,"Buffalo, NY",14214.0,4,1,"1,360",No Info,No Info,1,166240.0,no,no,no,no,USA
516,1119 SYCAMORE ST,"Buffalo, NY",14212.0,—,1,"3,348",No Info,No Info,1,99744.0,no,no,no,no,USA
517,1119 SYCAMORE ST,"Buffalo, NY",14212.0,—,1,"3,348",No Info,No Info,1,207800.0,no,no,no,no,USA
518,24 ESSEX ST,"Buffalo, NY",14213.0,1,1,"5,150",No Info,No Info,1,157928.0,no,no,no,no,USA
519,308 PORTSIDE,"Buffalo, NY",14202.0,3,3,"3,121",No Info,Yes,2,332480.0,no,no,no,no,USA
520,91 GRANT ST,"Buffalo, NY",14213.0,2,1,"1,300",No Info,No Info,1,91432.0,no,no,no,no,USA
521,54 NORMAL AVE # 1,"Buffalo, NY",14201.0,2,1,927,No Info,No Info,1,141304.0,no,no,no,no,USA
522,612 LAFAYETTE AVE,"Buffalo, NY",14222.0,1,1,"1,000",No Info,Yes,1,178708.0,no,no,no,no,USA
523,384 PROSPECT AVE,"Buffalo, NY",14201.0,3,1,"3,216",No Info,Yes,1,95588.0,no,no,no,no,USA
524,370 BRYANT ST APT 4,"Buffalo, NY",14222.0,2,1,"4,503",No Info,No Info,1,132161.0,no,no,no,no,USA
525,370 BRYANT ST,"Buffalo, NY",14222.0,1,1,"4,503",No Info,No Info,1,103900.0,no,no,no,no,USA
526,663 LAFAYETTE AVE,"Buffalo, NY",14222.0,3,3,"2,062",No Info,No Info,2,216112.0,no,no,no,no,USA
527,340 BIRD AVE APT 202,"Buffalo, NY",14213.0,2,3,"1,505",No Info,Yes,2,270140.0,no,no,no,no,USA
528,318 SOBIESKI ST # 2,"Buffalo, NY",14211.0,3,1,"1,934",No Info,No Info,1,116368.0,no,no,no,no,USA
529,4 SAINT JOHNS PL # 5,"Buffalo, NY",14201.0,2,1,"5,386",No Info,Yes,1,141304.0,no,no,no,no,USA
530,481 FRANKLIN ST APT 1,"Buffalo, NY",14202.0,—,1,477,No Info,Yes,1,103900.0,no,no,no,no,USA
531,,,,,,,,,,0.0,no,no,no,no,USA
